Subject,Age,Handedness,Sex,condition1correct,respond3.RT,respond3.ACC,Cue
1,25,right,male,Low-Shape-Mismatched,0,0,Alter_cue
1,25,right,male,High-shape_Mismatched,822,1,Alter_cue
1,25,right,male,Low-Shape-Mismatched,724,1,Alter_cue
1,25,right,male,High-shape_Mismatched,973,1,No_cue
1,25,right,male,High-shape_Matched,749,0,Alter_cue
1,25,right,male,High-shape_Mismatched,747,1,Alter_cue
1,25,right,male,Low-Shape-Matched,541,1,Alter_cue
1,25,right,male,Low-Shape-Mismatched,663,1,Alter_cue
1,25,right,male,Low-Shape-Matched,633,1,Alter_cue
1,25,right,male,High-shape_Mismatched,647,0,No_cue
1,25,right,male,Low-Shape-Matched,492,1,No_cue
1,25,right,male,High-shape_Matched,523,1,No_cue
1,25,right,male,Low-Shape-Mismatched,650,1,No_cue
1,25,right,male,Low-Shape-Mismatched,771,1,Alter_cue
1,25,right,male,Low-Shape-Matched,639,1,Alter_cue
1,25,right,male,Low-Shape-Mismatched,568,1,Alter_cue
1,25,right,male,High-shape_Mismatched,596,0,No_cue
1,25,right,male,Low-Shape-Matched,434,1,Alter_cue
1,25,right,male,High-shape_Matched,631,1,Alter_cue
1,25,right,male,High-shape_Mismatched,969,1,No_cue
1,25,right,male,High-shape_Matched,695,1,Alter_cue
1,25,right,male,High-shape_Mismatched,861,1,No_cue
1,25,right,male,High-shape_Mismatched,709,1,Alter_cue
1,25,right,male,High-shape_Matched,795,0,Alter_cue
1,25,right,male,Low-Shape-Matched,531,1,No_cue
1,25,right,male,Low-Shape-Mismatched,716,1,No_cue
1,25,right,male,Low-Shape-Mismatched,672,1,No_cue
1,25,right,male,Low-Shape-Matched,488,1,No_cue
1,25,right,male,Low-Shape-Mismatched,484,1,Alter_cue
1,25,right,male,Low-Shape-Mismatched,801,1,No_cue
1,25,right,male,Low-Shape-Matched,516,1,Alter_cue
1,25,right,male,High-shape_Matched,660,1,Alter_cue
1,25,right,male,High-shape_Matched,512,1,Alter_cue
1,25,right,male,Low-Shape-Matched,552,1,No_cue
1,25,right,male,Low-Shape-Matched,575,1,No_cue
1,25,right,male,High-shape_Mismatched,701,1,No_cue
1,25,right,male,Low-Shape-Matched,487,1,No_cue
1,25,right,male,Low-Shape-Mismatched,631,1,No_cue
1,25,right,male,High-shape_Matched,439,1,Alter_cue
1,25,right,male,Low-Shape-Matched,420,1,Alter_cue
1,25,right,male,Low-Shape-Matched,367,1,Alter_cue
1,25,right,male,Low-Shape-Mismatched,556,1,No_cue
1,25,right,male,High-shape_Mismatched,510,0,Alter_cue
1,25,right,male,Low-Shape-Mismatched,661,1,Alter_cue
1,25,right,male,Low-Shape-Mismatched,551,0,No_cue
1,25,right,male,High-shape_Matched,566,1,No_cue
1,25,right,male,High-shape_Mismatched,662,1,Alter_cue
1,25,right,male,Low-Shape-Matched,784,1,Alter_cue
1,25,right,male,Low-Shape-Mismatched,617,1,Alter_cue
1,25,right,male,High-shape_Mismatched,652,1,Alter_cue
1,25,right,male,Low-Shape-Mismatched,0,0,No_cue
1,25,right,male,Low-Shape-Matched,481,1,No_cue
1,25,right,male,Low-Shape-Matched,415,1,No_cue
1,25,right,male,Low-Shape-Mismatched,720,1,Alter_cue
1,25,right,male,High-shape_Matched,567,1,No_cue
1,25,right,male,High-shape_Matched,487,1,No_cue
1,25,right,male,Low-Shape-Matched,502,1,No_cue
1,25,right,male,High-shape_Matched,595,1,No_cue
1,25,right,male,Low-Shape-Mismatched,755,1,Alter_cue
1,25,right,male,High-shape_Matched,472,1,No_cue
1,25,right,male,High-shape_Mismatched,644,1,Alter_cue
1,25,right,male,Low-Shape-Mismatched,711,1,No_cue
1,25,right,male,Low-Shape-Mismatched,603,1,No_cue
1,25,right,male,Low-Shape-Matched,642,1,No_cue
1,25,right,male,High-shape_Matched,553,1,No_cue
1,25,right,male,High-shape_Matched,490,1,No_cue
1,25,right,male,High-shape_Matched,501,1,No_cue
1,25,right,male,High-shape_Mismatched,709,1,Alter_cue
1,25,right,male,Low-Shape-Mismatched,730,1,Alter_cue
1,25,right,male,Low-Shape-Mismatched,557,0,Alter_cue
1,25,right,male,Low-Shape-Matched,343,1,Alter_cue
1,25,right,male,Low-Shape-Mismatched,497,1,Alter_cue
1,25,right,male,High-shape_Mismatched,668,1,No_cue
1,25,right,male,Low-Shape-Matched,568,1,Alter_cue
1,25,right,male,Low-Shape-Mismatched,639,1,No_cue
1,25,right,male,High-shape_Mismatched,770,1,No_cue
1,25,right,male,Low-Shape-Matched,634,1,No_cue
1,25,right,male,High-shape_Matched,601,1,Alter_cue
1,25,right,male,High-shape_Mismatched,512,1,No_cue
1,25,right,male,Low-Shape-Matched,464,1,Alter_cue
1,25,right,male,High-shape_Matched,635,1,Alter_cue
1,25,right,male,Low-Shape-Mismatched,525,1,No_cue
1,25,right,male,Low-Shape-Matched,378,1,Alter_cue
1,25,right,male,Low-Shape-Mismatched,608,1,No_cue
1,25,right,male,High-shape_Matched,799,1,No_cue
1,25,right,male,High-shape_Mismatched,619,0,No_cue
1,25,right,male,Low-Shape-Mismatched,819,1,Alter_cue
1,25,right,male,High-shape_Matched,0,0,Alter_cue
1,25,right,male,High-shape_Matched,564,1,No_cue
1,25,right,male,Low-Shape-Matched,477,1,Alter_cue
1,25,right,male,High-shape_Matched,796,1,No_cue
1,25,right,male,Low-Shape-Mismatched,695,1,No_cue
1,25,right,male,High-shape_Matched,491,1,Alter_cue
