Subject,Session,Matchness,Identity,Trialtype,RT,ACC
1,1,Match,Self,prac,0.2445,1
1,1,Match,Self,prac,0.5326,1
1,1,Match,Self,prac,0.5827,1
1,1,Match,Self,prac,0.6547,0
1,1,Match,Self,exp,0.4588,1
1,1,Match,Self,exp,0.9987,1
1,1,Match,Self,exp,0.6358,0
1,1,Match,Self,exp,0.4797,0
1,1,Match,Self,exp,0.7416,1
1,1,Match,Self,exp,0.5034,1
1,1,Match,Self,exp,0.653,1
1,1,Match,Self,exp,0.939,1
1,1,Match,Self,exp,0.6223,1
1,1,Match,Self,exp,0.8809,1
1,1,Match,Self,exp,0.5992,1
1,1,Match,Self,exp,0.6491,1
1,1,Match,Self,exp,0.7076,1
1,1,Match,Self,exp,0.6232,1
1,1,Match,Self,exp,0.9718,1
1,1,Match,Self,exp,0.3891,1
1,1,Match,Self,exp,1.085,1
1,1,Match,Self,exp,1.085,1
1,1,Match,Self,exp,0.7894,1
1,1,Match,Self,exp,0.6297,-1
1,1,Match,Self,exp,0.7139,1
1,1,Match,Self,exp,1.0771,1
1,1,Match,Self,exp,0.7811,0
1,1,Match,Self,exp,0.7245,0
1,1,Match,Self,exp,0.8402,1
1,1,Match,Self,exp,0.533,0
1,1,Match,Self,exp,0.763,1
1,1,Match,Self,exp,0.8703,1
1,1,Match,Self,exp,0.7726,1
1,1,Match,Self,exp,0.6483,1
1,1,Match,Self,exp,0.6413,1
1,1,Match,Self,exp,0.5985,1
1,1,Match,Self,exp,0.6112,1
1,1,Match,Self,exp,0.5416,1
1,1,Match,Self,exp,0.6342,0
1,1,Match,Self,exp,0.6359,1
1,1,Match,Self,exp,0.7247,1
1,1,Match,Self,exp,0.6796,1
1,1,Match,Self,exp,0.8041,0
1,1,Match,Self,exp,0.8573,0
1,1,Match,Self,exp,0.8511,1
1,1,Match,Self,exp,0.5741,1
1,1,Match,Self,exp,1.0731,1
1,1,Match,Self,exp,0.5632,1
1,1,Match,Self,exp,0.625,1
1,1,Match,Self,exp,0.6125,1
1,1,Match,Self,exp,0.7115,-1
1,1,Match,Self,exp,1.0841,0
1,1,Match,Self,exp,0.6042,1
1,1,Match,Self,exp,0.7774,0
1,1,Match,Self,exp,0.7886,1
1,1,Match,Self,exp,0.6809,1
1,1,Match,Self,exp,0.8749,1
1,1,Match,Self,exp,0.7308,1
1,1,Match,Self,exp,0.6159,1
1,1,Match,Self,exp,0.5773,1
1,1,Match,Self,exp,0.4383,1
1,1,Match,Self,exp,1.085,1
1,1,Match,Self,exp,1.085,1
1,1,Match,Self,exp,0.4398,1
1,1,Match,Friend,prac,0.6997,1
1,1,Match,Friend,prac,0.5729,1
1,1,Match,Friend,prac,0.9027,1
1,1,Match,Friend,prac,0.7347,1
1,1,Match,Friend,exp,0.5802,1
1,1,Match,Friend,exp,0.7362,1
1,1,Match,Friend,exp,0.9314,1
1,1,Match,Friend,exp,0.7318,1
1,1,Match,Friend,exp,0.8341,0
1,1,Match,Friend,exp,0.8685,1
1,1,Match,Friend,exp,0.7094,1
1,1,Match,Friend,exp,0.6601,0
1,1,Match,Friend,exp,0.4213,1
1,1,Match,Friend,exp,0.8164,1
1,1,Match,Friend,exp,0.4199,1
1,1,Match,Friend,exp,0.9121,1
1,1,Match,Friend,exp,0.76,1
1,1,Match,Friend,exp,0.7896,1
1,1,Match,Friend,exp,0.8898,1
1,1,Match,Friend,exp,0.6621,1
1,1,Match,Friend,exp,0.544,1
1,1,Match,Friend,exp,0.6568,1
1,1,Match,Friend,exp,0.6587,1
1,1,Match,Friend,exp,0.9591,1
1,1,Match,Friend,exp,0.6857,1
1,1,Match,Friend,exp,0.5078,1
1,1,Match,Friend,exp,0.8809,1
1,1,Match,Friend,exp,0.7323,1
1,1,Match,Friend,exp,0.5229,1
1,1,Match,Friend,exp,0.6161,1
1,1,Match,Friend,exp,1.0032,0
1,1,Match,Friend,exp,0.7482,1
1,1,Match,Friend,exp,0.7773,1
1,1,Match,Friend,exp,0.9261,1
1,1,Match,Friend,exp,0.8784,1
1,1,Match,Friend,exp,0.6872,1
1,1,Match,Friend,exp,0.5206,1
1,1,Match,Friend,exp,0.7263,1
1,1,Match,Friend,exp,0.7391,1
1,1,Match,Friend,exp,0.7164,1
1,1,Match,Friend,exp,0.7478,1
1,1,Match,Friend,exp,0.9673,1
1,1,Match,Friend,exp,0.5233,1
1,1,Match,Friend,exp,0.7854,0
1,1,Match,Friend,exp,0.6904,0
1,1,Match,Friend,exp,0.7909,0
1,1,Match,Friend,exp,0.6488,1
1,1,Match,Friend,exp,0.9183,0
1,1,Match,Friend,exp,0.477,1
1,1,Match,Friend,exp,0.7519,1
1,1,Match,Friend,exp,0.6592,1
1,1,Match,Friend,exp,0.5402,1
1,1,Match,Friend,exp,0.7443,0
1,1,Match,Friend,exp,0.872,1
1,1,Match,Friend,exp,0.6425,1
1,1,Match,Friend,exp,0.901,1
1,1,Match,Friend,exp,0.509,-1
1,1,Match,Friend,exp,0.5494,1
1,1,Match,Friend,exp,0.6118,-1
1,1,Match,Friend,exp,0.7109,1
1,1,Match,Friend,exp,0.5216,-1
1,1,Match,Friend,exp,0.7138,-1
1,1,Match,Friend,exp,1.0076,1
1,1,Match,Friend,exp,0.6434,1
1,1,Match,Stranger,prac,0.6559,1
1,1,Match,Stranger,prac,0.7973,1
1,1,Match,Stranger,prac,0.7402,1
1,1,Match,Stranger,prac,0.9147,1
1,1,Match,Stranger,exp,0.5858,0
