SPE_type,Article_ID,Target,SH_r,LLCI,ULCI,SD
RT,0,Friend,0.56615,0.38647,0.74583,0.17968
ACC,0,Friend,0.66012,0.41976,0.90048,0.24036
Dprime,0,Friend,0.8396,0.6847,0.9945,0.1549
Efficiency,0,Friend,0.55038,0.38458,0.71618,0.1658
ezDDM_v,0,Friend,0.86435,0.75326,0.97544,0.11109
ezDDM_z,0,Friend,0.65694,0.49107,0.82281,0.16587
RT,6,Friend,0.61606,0.39203,0.84009,0.22403
ACC,6,Friend,0.78504,0.65998,0.9101,0.12506
Dprime,6,Friend,0.56823,0.38801,0.74845,0.18022
Efficiency,6,Friend,0.72558,0.50614,0.94502,0.21944
ezDDM_v,6,Friend,0.82484,0.66503,0.98465,0.15981
ezDDM_z,6,Friend,0.73309,0.55408,0.9121,0.17901
RT,34,Friend,0.65726,0.43113,0.88339,0.22613
ACC,34,Friend,0.70119,0.5196,0.88278,0.18159
Dprime,34,Friend,0.74388,0.52783,0.95993,0.21605
Efficiency,34,Friend,0.80836,0.70706,0.90966,0.1013
ezDDM_v,34,Friend,0.61482,0.42805,0.80159,0.18677
ezDDM_z,34,Friend,0.61909,0.44671,0.79147,0.17238
RT,46,Friend,0.59157,0.44086,0.74228,0.15071
ACC,46,Friend,0.63964,0.44302,0.83626,0.19662
Dprime,46,Friend,0.59882,0.38705,0.81059,0.21177
Efficiency,46,Friend,0.50783,0.29775,0.71791,0.21008
ezDDM_v,46,Friend,0.61843,0.43163,0.80523,0.1868
ezDDM_z,46,Friend,0.67244,0.47985,0.86503,0.19259
RT,51,Friend,0.71724,0.5165,0.91798,0.20074
ACC,51,Friend,0.71108,0.53731,0.88485,0.17377
Dprime,51,Friend,0.57065,0.38086,0.76044,0.18979
Efficiency,51,Friend,0.54884,0.34364,0.75404,0.2052
ezDDM_v,51,Friend,0.78054,0.56729,0.99379,0.21325
ezDDM_z,51,Friend,0.72083,0.55045,0.89121,0.17038
RT,54,Friend,0.75423,0.56873,0.93973,0.1855
ACC,54,Friend,0.74481,0.58391,0.90571,0.1609
Dprime,54,Friend,0.60005,0.42362,0.77648,0.17643
Efficiency,54,Friend,0.65479,0.48505,0.82453,0.16974
ezDDM_v,54,Friend,0.73278,0.56453,0.90103,0.16825
